ID,MusicTune,Description
0,MusicTune.None,静音
1,MusicTune.DayGrasswalk,白天
2,MusicTune.NightMoongrains,黑夜
3,MusicTune.PoolWaterygraves,泳池
4,MusicTune.FogRigormormist,浓雾
5,MusicTune.RoofGrazetheroof,屋顶
6,MusicTune.ChooseYourSeeds,选卡
7,MusicTune.TitleCrazyDaveMainTheme,主界面
8,MusicTune.PuzzleCerebrawl,解谜
9,MusicTune.MinigameLoonboon,迷你游戏
10,MusicTune.Conveyer,传送带
11,MusicTune.FinalBossBrainiacManiac,僵王博士
12,MusicTune.ZenGarden,花园
13,MusicTune.GreatWall,长城
14,MusicTune.PanSiDongMusic,盘丝洞
15,MusicTune.PvZ3Music,植物大战僵尸3
16,MusicTune.LeiYinSiMusic,雷音寺
17,MusicTune.HuoYanShanMusic,火焰山
18,MusicTune.NiuMoGongMusic,牛魔宫
19,MusicTune.DragonPalaceMusic,龙宫
20,MusicTune.WestLevelBossMusic,西游Boss
21,MusicTune.WeAreTheWorld,未知
22,MusicTune.Backyard,戴夫的后花园
23,MusicTune.GreatWallNight,长城黑夜
24,MusicTune.GreatWallPool,长城泳池
25,MusicTune.Rainforest,雨林
